sentiment,anger,sadness,disgust,joy,fear
-0.537769,0.161554,0.661392,0.011615,0.107096,0.191789
0.496861,0.095714,0.393046,0.037392,0.377737,0.129252
0.25487,0.152747,0.638896,0.10124,0.481276,0.174166
0.390044,0.593071,0.509884,0.091153,0.617333,0.070816
0.494081,0.084712,0.520084,0.084227,0.655945,0.094598
0.848595,0.107246,0.189201,0.091545,0.512848,0.095577
0.401329,0.052272,0.655178,0.05128,0.644189,0.09564
-0.305415,0.148157,0.411195,0.012173,0.443634,0.065023
-0.509794,0.409542,0.017283,0.171471,0.30037,0.200728
0.530118,0.069087,0.577899,0.032883,0.69779,0.093134
0,0.318671,0.374098,0.119718,0.017372,0.20782
0.757151,0.061803,0.432669,0.036191,0.707505,0.065724
0.89079,0.23878,0.270679,0.073039,0.4399,0.116042
0.518241,0.091724,0.120364,0.062821,0.702454,0.04612
0.920563,0.200357,0.207231,0.088543,0.533393,0.034825
0.94849,0.017757,0.032684,0.009557,0.932959,0.01294
0.698137,0.093391,0.189631,0.082737,0.615208,0.107923
-0.752654,0.10992,0.436919,0.017514,0.136894,0.092827
0.698998,0.067199,0.477364,0.081083,0.648459,0.115762
-0.483906,0.127852,0.659329,0.035321,0.176831,0.16509
0.373034,0.085889,0.172567,0.016463,0.673876,0.085038
-0.380072,0.108313,0.593761,0.08019,0.592563,0.654949
-0.308088,0.042279,0.127056,0.024201,0.056082,0.099756
0.2967,0.099944,0.096699,0.023442,0.216175,0.045441
0.483099,0.069541,0.514203,0.066559,0.599229,0.134349
0.428836,0.080012,0.46254,0.084874,0.644272,0.117682
0.642074,0.053746,0.031972,0.013712,0.756434,0.023893
0.705318,0.025669,0.138738,0.004323,0.776869,0.033797
0.35837,0.088426,0.567092,0.049946,0.668755,0.080844
0.848949,0.054122,0.286506,0.015297,0.605796,0.066461
0.450252,0.083986,0.628169,0.05618,0.575758,0.44002
-0.553096,0.099535,0.572529,0.115053,0.535768,0.441862
-0.292177,0.100372,0.594429,0.501388,0.526939,0.151458
0.468535,0.066267,0.138763,0.087324,0.721791,0.114716
0.849162,0.108269,0.244828,0.060775,0.573522,0.619984
0.33105,0.555668,0.108488,0.08856,0.61042,0.078637
-0.449255,0.179868,0.528482,0.162593,0.568793,0.142891
0.648202,0.108631,0.194921,0.082785,0.66415,0.065446
0.871282,0.011538,0.031449,0.015169,0.938094,0.006052
0.806417,0.032875,0.179905,0.048819,0.742241,0.012268
0.521725,0.041095,0.103999,0.071441,0.731843,0.02275
-0.555352,0.694213,0.552896,0.080002,0.134858,0.04674
-0.355932,0.077159,0.594781,0.057991,0.519059,0.168227
-0.526291,0.08505,0.68619,0.079408,0.477717,0.139392
-0.767574,0.563682,0.18057,0.146542,0.554352,0.081267
0.334516,0.048636,0.324639,0.077235,0.513365,0.135664
-0.342603,0.063886,0.531335,0.059545,0.641197,0.671788
0.898927,0.058341,0.133307,0.072173,0.698491,0.069137
0.363858,0.235992,0.062335,0.061475,0.69744,0.008894
0.430788,0.071177,0.353396,0.013023,0.377614,0.318717
0.559482,0.088948,0.168284,0.075867,0.673645,0.075348
0.859417,0.031239,0.057025,0.023531,0.740054,0.009701
-0.308357,0.072268,0.163339,0.034522,0.651583,0.575085
0.464208,0.08376,0.088247,0.029124,0.806185,0.017204
-0.351522,0.129694,0.319611,0.567832,0.063192,0.188421
0.486669,0.052915,0.51971,0.67921,0.497955,0.097965
-0.53461,0.252919,0.541179,0.170643,0.149479,0.083175
-0.55019,0.406223,0.375551,0.251557,0.027857,0.320114
-0.463363,0.109469,0.652332,0.054393,0.621297,0.692316
0.372864,0.084464,0.557091,0.103652,0.602431,0.440065
0.456383,0.097889,0.551144,0.131216,0.632582,0.624452
0.83737,0.074972,0.381467,0.048987,0.497426,0.03336
0.78692,0.126412,0.58978,0.077505,0.573377,0.07683
0.343145,0.094707,0.624388,0.073348,0.60982,0.090036
-0.453163,0.085304,0.576422,0.091404,0.556726,0.075762
-0.303515,0.447953,0.59669,0.046057,0.622532,0.127158
0.68847,0.068037,0.503683,0.0626,0.70909,0.122885
0.313448,0.105539,0.223344,0.042271,0.670946,0.08196
0.571767,0.096243,0.437774,0.047842,0.69349,0.08994
0.651706,0.115868,0.566503,0.066599,0.558844,0.059623
0.42897,0.17409,0.234346,0.117314,0.565427,0.087141
0.653851,0.055586,0.154269,0.006044,0.559773,0.048081
-0.344979,0.470544,0.54472,0.105185,0.562116,0.128962
-0.775209,0.081411,0.573588,0.067902,0.121987,0.20757
0.506268,0.100309,0.596366,0.055652,0.649323,0.092064
-0.348282,0.112849,0.147896,0.149594,0.690847,0.069765
-0.836409,0.095363,0.176807,0.137916,0.603749,0.062986
0.435528,0.137526,0.525597,0.102345,0.622391,0.092986
0.919938,0.040606,0.090445,0.097471,0.7209,0.061451
-0.448659,0.119793,0.590202,0.104923,0.530723,0.183251
-0.32488,0.123959,0.496933,0.105874,0.585647,0.171746
0.297536,0.102977,0.145361,0.07678,0.722636,0.107782
-0.44918,0.120564,0.61791,0.082407,0.549114,0.084229
0.252984,0.264046,0.119899,0.111624,0.018448,0.17378
0.287898,0.103851,0.624556,0.095947,0.564794,0.137801
-0.28202,0.058787,0.652568,0.044113,0.615832,0.080438
-0.709682,0.101193,0.540615,0.064878,0.164555,0.16935
-0.991978,0.009272,0.964932,0.004404,0.024025,0.080735
0.622417,0.063605,0.215502,0.007376,0.639231,0.070772
0.33091,0.692744,0.594351,0.68457,0.537142,0.557815
-0.827077,0.157629,0.77675,0.06481,0.027258,0.239327
-0.541755,0.073748,0.502553,0.1097,0.611254,0.097141
-0.620528,0.654732,0.605263,0.06646,0.541848,0.137868
0.764271,0.093066,0.276039,0.043345,0.529035,0.032134
0.35062,0.094945,0.549841,0.438633,0.640499,0.129239
0.270476,0.062522,0.50439,0.076039,0.713614,0.099357
0.399283,0.144181,0.531207,0.12043,0.58449,0.416294
-0.815979,0.182432,0.675069,0.104186,0.091084,0.232325
0.610567,0.117724,0.132952,0.105159,0.650127,0.085943
-0.751067,0.225569,0.641733,0.161107,0.515403,0.1646
0,0.061824,0.063078,0.041515,0.094859,0.054638
0.835006,0.007182,0.019382,0.003612,0.263,0.697586
0.62377,0.072993,0.156983,0.072561,0.589576,0.078095
0.284342,0.090056,0.61672,0.053813,0.644947,0.685582
0.40015,0.215885,0.355005,0.227311,0.279151,0.040972
0.583722,0.106276,0.541858,0.102025,0.646263,0.127545
-0.455724,0.201141,0.179166,0.128374,0.549082,0.033898
0.699518,0.088947,0.597296,0.109127,0.648033,0.089633
-0.665098,0.581523,0.239807,0.089395,0.538036,0.175401
-0.783349,0.6218,0.127387,0.079794,0.606621,0.091542
0.858173,0.047423,0.214601,0.035035,0.754795,0.051722
-0.317658,0.019381,0.064451,0.481607,0.479374,0.025761
0.699693,0.167157,0.203408,0.044181,0.578594,0.05555
0.871774,0.033856,0.058394,0.544642,0.637042,0.009859
-0.85866,0.610352,0.714302,0.10475,0.094602,0.205015
-0.303566,0.272294,0.479553,0.026182,0.286439,0.119073
0.325909,0.174318,0.144368,0.067253,0.316498,0.461497
0.416431,0.055104,0.447107,0.03954,0.717586,0.087368
-0.690608,0.098431,0.549753,0.102313,0.518251,0.074722
-0.50516,0.128674,0.556443,0.136422,0.164844,0.120819
-0.881306,0.426498,0.515228,0.295661,0.032103,0.028941
-0.554436,0.102912,0.174242,0.069422,0.590834,0.615757
-0.33797,0.054366,0.047595,0.026002,0.507022,0.177712
0.450779,0.14806,0.504875,0.10534,0.551159,0.119239
-0.780534,0.367749,0.590878,0.237218,0.052086,0.059097
-0.742174,0.558628,0.227354,0.158024,0.509745,0.080955
0.467241,0.150884,0.578673,0.120948,0.621497,0.129807
0.370942,0.145995,0.492845,0.063404,0.053192,0.118396
-0.429862,0.459641,0.514112,0.19734,0.633097,0.132672
-0.371537,0.127044,0.172616,0.048631,0.392545,0.253538
0.839264,0.131009,0.220882,0.119443,0.314626,0.049482
-0.407355,0.099241,0.675013,0.087814,0.572373,0.108723
-0.58234,0.17796,0.233643,0.068811,0.484634,0.157481
-0.635025,0.071787,0.427858,0.043391,0.172774,0.729697
-0.52919,0.075622,0.421595,0.025505,0.483447,0.042864
-0.510662,0.085618,0.587885,0.077129,0.628176,0.047679
0.5342,0.078824,0.109125,0.02243,0.785531,0.030905
-0.498912,0.102715,0.592219,0.08679,0.633987,0.68311
-0.477167,0.155938,0.671585,0.164624,0.008959,0.346262
0.544125,0.036032,0.090188,0.034778,0.767492,0.069225
-0.638119,0.109415,0.475392,0.024889,0.370019,0.139344
0.680214,0.085263,0.213,0.114325,0.659808,0.077138
0.614681,0.039304,0.161808,0.034903,0.751108,0.027475
0.623925,0.11488,0.190502,0.021527,0.594884,0.140307
0.524782,0.091522,0.406557,0.059051,0.320648,0.076628
0.784703,0.068428,0.473429,0.069423,0.699116,0.107576
-0.845899,0.244617,0.611045,0.274132,0.032782,0.176335
-0.363093,0.046078,0.536185,0.204314,0.285731,0.035154
0.508033,0.223561,0.393272,0.036236,0.424348,0.050229
0.586305,0.146264,0.539333,0.050189,0.670819,0.074002
0.338987,0.095562,0.074161,0.031033,0.669804,0.054456
0.730809,0.05808,0.172861,0.049089,0.624423,0.112558
0.650654,0.075793,0.119528,0.060321,0.757876,0.097429
0.472586,0.072322,0.181193,0.04921,0.593449,0.093169
0.796508,0.092489,0.037956,0.018765,0.769568,0.006647
0.733777,0.075545,0.177791,0.055629,0.558438,0.147148
0.656505,0.057016,0.347317,0.002397,0.61216,0.015143
0.5241,0.050114,0.161804,0.035107,0.725716,0.048309
-0.335802,0.14887,0.587164,0.100806,0.487961,0.125944
-0.465052,0.085162,0.489416,0.145896,0.080163,0.342097
0.522593,0.31985,0.30722,0.061105,0.408944,0.046957
-0.739271,0.15374,0.138157,0.688219,0.049407,0.109925
0.436628,0.020256,0.146378,0.047215,0.745628,0.042186
0.539196,0.15517,0.113075,0.080391,0.665081,0.038127
0.555293,0.265616,0.136005,0.064334,0.57334,0.072665
-0.326133,0.447899,0.53865,0.09132,0.604286,0.135435
-0.826082,0.169518,0.602564,0.088359,0.26022,0.178081
-0.871877,0.119283,0.70375,0.061375,0.165457,0.109861
-0.741503,0.00604,0.730765,0.021252,0.244346,0.035397
0.723927,0.134175,0.481943,0.057227,0.686952,0.134356
-0.384172,0.100532,0.519705,0.097241,0.620977,0.109861
-0.435114,0.219433,0.297915,0.062374,0.471607,0.048022
0.927802,0.054065,0.067743,0.018505,0.824563,0.047311
-0.456812,0.077165,0.538031,0.047817,0.696957,0.028657
0.584257,0.178253,0.207188,0.054294,0.427895,0.031636
0.54423,0.497949,0.58132,0.020815,0.659129,0.677319
-0.534642,0.125569,0.55574,0.130233,0.562825,0.163765
0.340627,0.099849,0.60265,0.064934,0.653848,0.109689
-0.440924,0.072173,0.404257,0.109572,0.386827,0.145847
-0.498125,0.121561,0.643206,0.110243,0.579521,0.149355
0.850037,0.0947,0.202698,0.081898,0.597696,0.108974
-0.583355,0.566513,0.595751,0.119963,0.192163,0.159004
-0.652543,0.313615,0.258126,0.430961,0.021196,0.338756
-0.480334,0.120196,0.239868,0.032342,0.630935,0.028056
0.719703,0.046819,0.149312,0.065367,0.695282,0.041667
0.353431,0.468599,0.254666,0.120425,0.525611,0.097884
0.608429,0.099974,0.119123,0.067453,0.666104,0.079584
-0.581414,0.212985,0.173219,0.009637,0.187746,0.394918
-0.419266,0.169738,0.222393,0.527432,0.580975,0.080642
0.367036,0.115997,0.534168,0.090528,0.610777,0.080453
-0.642432,0.052049,0.489458,0.433653,0.080864,0.201037
-0.426468,0.511245,0.603514,0.514175,0.566443,0.149764
0.316659,0.070167,0.575969,0.068639,0.600003,0.092379
0.626903,0.140512,0.224755,0.037064,0.116077,0.074993
-0.701323,0.199514,0.65366,0.125605,0.028254,0.317917
0.325272,0.034951,0.196487,0.036538,0.685705,0.09865
0.359456,0.048935,0.047663,0.044394,0.778583,0.001651
0.661179,0.122762,0.565682,0.056466,0.569454,0.063912
-0.341576,0.147422,0.67035,0.146383,0.127091,0.245095
-0.384253,0.122968,0.511218,0.061728,0.648294,0.569855
0.682076,0.096371,0.576036,0.077571,0.642529,0.106273
0.943756,0.013248,0.256579,0.008712,0.565581,0.021999
-0.595831,0.552624,0.549833,0.095266,0.181792,0.13104
-0.387066,0.056149,0.49893,0.051951,0.613478,0.068677
0.254719,0.186853,0.116392,0.13328,0.260459,0.072506
-0.743094,0.289099,0.384245,0.423454,0.131397,0.076237
-0.620745,0.011718,0.587059,0.013871,0.386576,0.037773
-0.311154,0.655772,0.206509,0.074525,0.129792,0.17042
0.450273,0.044075,0.334447,0.029046,0.563536,0.074152
-0.28703,0.136563,0.205961,0.464207,0.579536,0.07443
-0.278299,0.096483,0.498219,0.10553,0.602623,0.67088
0.408891,0.087587,0.575408,0.07742,0.610199,0.138208
0.793092,0.113605,0.034175,0.119113,0.734236,0.046323
-0.791024,0.611226,0.649613,0.09395,0.160376,0.547717
0.718246,0.075982,0.276863,0.07285,0.502575,0.128578
0.459361,0.109223,0.548242,0.087082,0.574351,0.147435
-0.609294,0.077965,0.559134,0.071474,0.265594,0.100739
-0.433841,0.039096,0.115401,0.004461,0.833492,0.020499
0.27983,0.179648,0.230417,0.069238,0.65721,0.065441
0.363739,0.070116,0.189021,0.096721,0.653054,0.055531
0.727963,0.016529,0.137672,0.025734,0.815408,0.018217
0.380736,0.106174,0.095895,0.051414,0.740542,0.075177
-0.58223,0.444912,0.597791,0.080714,0.52864,0.43561
0.427481,0.084134,0.114688,0.063461,0.608767,0.501473
-0.879677,0.141027,0.708857,0.330688,0.020828,0.101213
0.642823,0.129093,0.645645,0.010063,0.193964,0.126856
0.557592,0.090032,0.428066,0.006911,0.429226,0.016343
-0.500093,0.468149,0.541442,0.041758,0.121734,0.144645
0.625073,0.10354,0.543361,0.115133,0.6026,0.112627
0.480007,0.097912,0.188025,0.064514,0.692372,0.138577
-0.436053,0.155795,0.576421,0.082718,0.184453,0.174378
0.263352,0.135988,0.331706,0.033527,0.204914,0.094827
-0.57299,0.179085,0.580108,0.483227,0.457972,0.105934
-0.529351,0.152642,0.533416,0.162062,0.444497,0.086668
-0.310968,0.071784,0.691275,0.052512,0.59491,0.168037
0.623775,0.041665,0.338335,0.006124,0.612229,0.040964
0.611164,0.11186,0.2059,0.030588,0.566085,0.174789
0.921827,0.01111,0.42299,0.007543,0.562934,0.012451
0.499662,0.122413,0.495633,0.101544,0.643374,0.46021
-0.384172,0.109479,0.5248,0.101987,0.592031,0.118027
0.454814,0.127525,0.548848,0.083337,0.555897,0.099984
-0.320419,0.044614,0.169057,0.066433,0.436893,0.30489
0.348855,0.455428,0.531675,0.05217,0.182301,0.023623
0.818653,0.031357,0.488578,0.028273,0.724712,0.612302
0.73401,0.02612,0.252939,0.024304,0.727231,0.049052
-0.745924,0.562201,0.560305,0.102176,0.015271,0.055248
0.648604,0.071665,0.26965,0.012603,0.624422,0.056779
-0.620722,0.6382,0.543478,0.082894,0.666822,0.097931
-0.788078,0.258727,0.668923,0.456025,0.609214,0.171728
-0.617521,0.058382,0.791683,0.025353,0.06171,0.216485